[24-Nov-2014 22:29:36 Europe/London] PHP Fatal error:  Allowed memory size of 2101346304 bytes exhausted (tried to allocate 2084831232 bytes) in /websites/lnlsymfony/vendor/twig/twig/lib/Twig/Extension/Debug.php on line 66
[24-Nov-2014 22:30:03 Europe/London] PHP Fatal error:  Allowed memory size of 4198498304 bytes exhausted (tried to allocate 4181983232 bytes) in /websites/lnlsymfony/vendor/twig/twig/lib/Twig/Extension/Debug.php on line 66
[24-Nov-2014 23:14:49 Europe/London] PHP Fatal error:  Call to a member function getChildren() on null in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 21
[04-Jan-2015 21:03:35 Europe/London] PHP Fatal error:  Call to a member function getChildren() on null in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 21
[04-Jan-2015 22:28:55 Europe/London] PHP Fatal error:  Call to a member function getChildren() on null in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 21
[04-Jan-2015 22:29:02 Europe/London] PHP Fatal error:  Call to a member function getChildren() on null in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 21
[04-Jan-2015 22:29:45 Europe/London] PHP Fatal error:  Call to a member function getChildren() on null in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 21
[04-Jan-2015 22:31:19 Europe/London] PHP Fatal error:  Call to a member function getChildren() on null in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 21
[04-Jan-2015 22:33:17 Europe/London] PHP Fatal error:  Call to a member function getChildren() on null in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 21
[04-Jan-2015 22:33:23 Europe/London] PHP Fatal error:  Call to a member function getChildren() on null in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 21
[04-Jan-2015 22:35:02 Europe/London] PHP Fatal error:  Call to a member function getChildren() on null in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 21
[04-Jan-2015 22:39:21 Europe/London] PHP Fatal error:  Call to a member function getChildren() on null in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 21
[04-Jan-2015 22:40:29 Europe/London] PHP Fatal error:  Call to a member function getChildren() on null in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 21
[04-Jan-2015 23:38:48 Europe/London] PHP Fatal error:  Call to undefined method lnl\lnlBundle\Admin\CategoryAdmin::getTitle() in /websites/lnlsymfony/src/lnl/lnlBundle/Admin/CategoryAdmin.php on line 28
[04-Jan-2015 23:46:04 Europe/London] PHP Fatal error:  Call to undefined method lnl\lnlBundle\Admin\CategoryAdmin::getTitle() in /websites/lnlsymfony/src/lnl/lnlBundle/Admin/CategoryAdmin.php on line 28
[06-Jan-2015 20:39:05 Europe/London] PHP Fatal error:  Call to a member function getTitle() on null in /websites/lnlsymfony/src/lnl/lnlBundle/Entity/ItemRelationships.php on line 90
[06-Jan-2015 20:40:17 Europe/London] PHP Fatal error:  Call to a member function getTitle() on null in /websites/lnlsymfony/src/lnl/lnlBundle/Entity/ItemRelationships.php on line 90
[06-Jan-2015 21:10:33 Europe/London] PHP Fatal error:  Call to undefined method lnl\lnlBundle\Admin\ItemAdmin::getCompanyChoices() in /websites/lnlsymfony/src/lnl/lnlBundle/Admin/ItemAdmin.php on line 59
[06-Jan-2015 21:11:11 Europe/London] PHP Fatal error:  Call to undefined method lnl\lnlBundle\Admin\ItemAdmin::getItemRelationships() in /websites/lnlsymfony/src/lnl/lnlBundle/Admin/ItemAdmin.php on line 59
